Mixing_rate_rpm	Chitosan_TPP_Ratio_v_v	Chitosan_Concentration_mg_ml	TPP_Concentration_mg_ml	Particle_Diameter_nm
750	1	0.75	1	639.7098
750	1	0.75	1.25	622.6948
750	1	0.75	1.5	627.7486
750	1	0.75	2	632.1257
750	1	0.75	2.5	635.1261
750	1	0.75	3	686.3247
750	1	0.75	3.5	756.3518
750	1	0.75	4	648.6605
750	1	0.75	4.5	798.4032
750	1	0.75	5	627.1367
750	1	1	0.25	638.3086
750	1	1	0.5	670.3881
750	1	1	0.75	734.6227
750	1	1	1	641.9584
750	1	1	1.25	628.1025
750	1	1	1.5	708.6779
750	1	1	2	1018.878
750	1	1	2.5	628.5768
750	1	1	3	681.8713
750	1	1	3.5	669.3524
750	1	1	4	630.1708
750	1	1	4.5	637.8134
750	1	1	5	650.5883
750	1	1.25	0.25	1137.263
750	1	1.25	0.5	1095.963
750	1	1.25	0.75	916.4135
750	1	1.25	1	849.5306
750	1	1.25	1.25	713.5792
750	1	1.25	1.5	669.7996
750	1	1.25	2	602.0655
750	1	1.25	2.5	670.9604
750	1	1.25	3	701.4699
750	1	1.25	3.5	681.1113
750	1	1.25	4	621.0949
750	1	1.25	4.5	643.1199
750	1	1.25	5	639.1918
750	1	1.5	0.25	658.4007
750	1	1.5	0.5	669.5444
750	1	1.5	0.75	623.2249
750	1	1.5	1	694.1076
750	1	1.5	1.25	679.2576
750	1	1.5	1.5	701.8077
750	1	1.5	2	631.1938
750	1	1.5	2.5	698.2861
750	1	1.5	3	657.5077
750	1	1.5	3.5	687.5417
750	1	1.5	4	655.2583
750	1	1.5	4.5	657.3452
750	1	1.5	5	670.1132
750	1	2	0.25	656.4912
750	1	2	0.5	655.5702
750	1	2	0.75	605.9435
750	1	2	1	612.2258
750	1	2	1.25	770.7549
750	1	2	1.5	645.642
750	1	2	2	648.093
750	1	2	2.5	675.1885
750	1	2	3	668.1128
750	1	2	3.5	673.5869
750	1	2	4	628.3611
750	1	2	4.5	622.7945
750	1	2	5	645.6064
750	1	5	4	628.4261
